,대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),주차면수합,옥외자주식대수(대),옥외자주식면적(㎡),변환_행정동
4,경기도 수원시 영통구 매탄동 1-5번지,41117,10100,0,1,5,1.08E+13,2,집합,3,표제부,경기도 수원시 영통구 중부대로 390 (매탄동),,,,,1,4.11E+11,10101,0,390,0,,0,주건축물,2743,1501.54,54.74,9301.72,4921.04,179.4,21,철근콘크리트구조,철근콘크리트구조,5000,문화및집회시설,"문화및집회시설(전시장),판매시설(상점)",10,(철근)콘크리트,(철근)콘크리트,0,0,21.5,4,2,3,0,0,0,9301.72,0,0,0,0,82,82,0,0,매탄2동
8,경기도 수원시 영통구 매탄동 50-3번지,41117,10100,0,50,3,1.08E+13,1,일반,2,일반건축물,경기도 수원시 영통구 산남로80번길 40 (매탄동),이산 패밀리타운 105동,,,,1,4.11E+11,10101,0,40,0,,0,주건축물,289.2,172.97,59.81,576,576,199.17,21,철근콘크리트구조,철근콘크리트구조,1000,단독주택,"단독주택(다가구주택),근린생활시설",10,(철근)콘크리트,(철근)콘크리트,0,9,17,5,0,1,0,0,0,576,0,0,0,0,10,10,0,0,매탄2동
9,경기도 수원시 영통구 매탄동 50-5번지,41117,10100,0,50,5,10841236995,1,일반,2,일반건축물,경기도 수원시 영통구 산남로80번길 42 (매탄동),,,,,0,4.11E+11,10101,0,42,0,,0,주건축물,317,174.41,55.02,659.66,497.13,156.82,21,철근콘크리트구조,철근콘크리트구조,1000,단독주택,단독주택,10,(철근)콘크리트,(철근)콘크리트,0,19,10.45,3,1,0,0,0,0,659.66,0,0,0,0,0,6,6,70,매탄2동
10,경기도 수원시 영통구 매탄동 50-7번지,41117,10100,0,50,7,10841236996,1,일반,2,일반건축물,경기도 수원시 영통구 산남로80번길 44 (매탄동),,,,,0,4.11E+11,10101,0,44,0,,0,주건축물,344,156.69,45.55,587.03,450.09,130.84,21,철근콘크리트구조,철근콘크리트구조,1000,단독주택,단독주택,10,(철근)콘크리트,(철근)콘크리트,0,19,10.45,3,1,0,0,0,0,587.03,0,0,0,0,0,5,5,57.5,매탄2동
11,경기도 수원시 영통구 매탄동 50-8번지,41117,10100,0,50,8,1.08E+13,1,일반,2,일반건축물,경기도 수원시 영통구 산남로80번길 38 (매탄동),이산 패밀리타운 106동,,,,0,4.11E+11,10101,0,38,,,0,주건축물,302,180.4,59.74,604.66,604.66,200.22,21,철근콘크리트구조,철근콘크리트구조,1000,단독주택,"단독주택(다가구주택),근린생활시설",10,(철근)콘크리트,(철근)콘크리트,0,9,16.8,5,0,1,0,0,0,604.66,0,0,0,0,10,10,0,0,매탄2동
12,경기도 수원시 영통구 매탄동 50-9번지,41117,10100,0,50,9,1.08E+13,1,일반,2,일반건축물,경기도 수원시 영통구 산남로80번길 36 (매탄동),이산 패밀리타운 104동,,,,0,4.11E+11,10101,0,36,0,,0,주건축물,330,196.37,59.51,660.32,660.32,200.1,21,철근콘크리트구조,철근콘크리트구조,1000,단독주택,"단독주택(다가구주택,근린생활시설)",10,(철근)콘크리트,(철근)콘크리트,0,10,16.9,5,0,1,0,0,0,660.32,0,0,0,0,11,11,0,0,매탄2동
13,경기도 수원시 영통구 매탄동 50-10번지,41117,10100,0,50,10,1.08E+13,1,일반,2,일반건축물,경기도 수원시 영통구 산남로80번길 32 (매탄동),이산 패밀리타운 102동,,,,0,4.11E+11,10101,0,32,,,0,주건축물,416,248.021,59.62,819.596,819.596,197.02,21,철근콘크리트구조,철근콘크리트구조,1000,단독주택,단독주택(다가구주택) 외 1,10,(철근)콘크리트,(철근)콘크리트,0,11,16.7,5,0,1,0,0,0,819.596,0,0,0,0,13,13,0,0,매탄2동
14,경기도 수원시 영통구 매탄동 50-11번지,41117,10100,0,50,11,1.08E+13,1,일반,2,일반건축물,경기도 수원시 영통구 산남로80번길 30 (매탄동),이산 패밀리타운 101동,,,,0,4.11E+11,10101,0,30,0,,0,주건축물,363,213.24,58.74,726.872,726.872,200.24,21,철근콘크리트구조,철근콘크리트구조,1000,단독주택,단독주택(다가구주택) 외 1,10,(철근)콘크리트,(철근)콘크리트,0,9,16.6,5,0,1,0,0,0,726.872,0,0,0,0,10,10,0,0,매탄2동
15,경기도 수원시 영통구 매탄동 50-13번지,41117,10100,0,50,13,1.08E+13,1,일반,2,일반건축물,경기도 수원시 영통구 산남로80번길 34 (매탄동),이산 패밀리타운 103동,,,,1,4.11E+11,10101,0,34,0,,0,주건축물,326.9,195.55,59.82,649.75,649.75,198.76,21,철근콘크리트구조,철근콘크리트구조,1000,단독주택,"단독주택(다가구주택,근린생활시설)",10,(철근)콘크리트,(철근)콘크리트,0,11,17.1,5,0,1,0,0,0,649.75,0,0,0,0,12,12,0,0,매탄2동
19,경기도 수원시 영통구 매탄동 101번지,41117,10100,0,101,0,10841237003,1,일반,2,일반건축물,경기도 수원시 영통구 동수원로507번길 24 (매탄동),,,,,2,4.11E+11,10101,0,24,,,0,주건축물,791.6,274.73,34.71,274.73,274.73,34.71,32,경량철골구조,"연와조, 조립식판넬",3000,제1종근린생활시설,근생및주택,10,(철근)콘크리트,"슬라브, 조립식판넬",0,2,3.9,1,0,0,0,0,0,274.73,0,0,0,0,0,2,2,23,매탄1동
20,경기도 수원시 영통구 매탄동 101-2번지,41117,10100,0,101,2,10841237004,1,일반,2,일반건축물,경기도 수원시 영통구 동수원로 515 (매탄동),,,,,1,4.11E+11,10101,0,515,,,0,주건축물,938.5,650.62,69.32,1960.25,1960.25,208.87,21,철근콘크리트구조,"철근콘크리트구조,조적조",1000,단독주택,"제1,2종근린생활시설,창고시설",10,(철근)콘크리트,(철근)콘크리트,0,0,20.1,5,1,1,0,0,0,1960.25,0,0,0,0,0,16,16,189.5,매탄1동
24,경기도 수원시 영통구 매탄동 101-6번지,41117,10100,0,101,6,1.08E+13,1,일반,2,일반건축물,경기도 수원시 영통구 동수원로507번길 4-5 (매탄동),,,,,1,4.11E+11,10101,0,4,5,,0,주건축물,397.2,145.82,36.71,241.5,241.5,60.8,51,일반목구조,일반목구조,1000,단독주택,단독주택(단독주택),90,기타지붕,기타지붕(일반목구조),0,1,11.32,3,0,0,0,0,0,241.5,0,0,0,0,0,3,3,34.5,매탄1동
25,경기도 수원시 영통구 매탄동 101-8번지,41117,10100,0,101,8,10841237009,1,일반,2,일반건축물,경기도 수원시 영통구 동수원로 511 (매탄동),,,,,0,4.11E+11,10101,0,511,0,,0,주건축물,288,171.75,59.64,494.25,494.25,171.61,21,철근콘크리트구조,라멘조/조적조,1000,단독주택,"근린생활시설, 주택(10가구)",10,(철근)콘크리트,슬라브,0,10,10.1,3,0,0,0,0,0,0,0,0,0,0,0,4,4,46,매탄1동
26,경기도 수원시 영통구 매탄동 101-9번지,41117,10100,0,101,9,10841237010,1,일반,2,일반건축물,경기도 수원시 영통구 동수원로 513 (매탄동),,,,,0,4.11E+11,10101,0,513,0,,0,주건축물,325,193.84,59.64,566.44,550.6,169.42,31,일반철골구조,"브럭조, 철골조",4000,제2종근린생활시설,"근린생활시설, 주택",10,(철근)콘크리트,슬라브,0,1,11.5,3,1,0,0,0,0,0,0,0,0,0,0,4,4,46,매탄1동
30,경기도 수원시 영통구 매탄동 101-13번지,41117,10100,0,101,13,10841237014,1,일반,2,일반건축물,경기도 수원시 영통구 동수원로507번길 11 (매탄동),,,,,0,4.11E+11,10101,0,11,0,,0,주건축물,205.8,118.8,57.73,457.02,419.22,203.7,19,기타조적구조,조적조외2,1000,단독주택,단독주택외2,10,(철근)콘크리트,슬라브외1,0,4,12.9,4,1,0,0,0,0,0,0,0,0,0,0,2,2,23,매탄1동
35,경기도 수원시 영통구 매탄동 101-18번지,41117,10100,0,101,18,1.08E+13,1,일반,2,일반건축물,경기도 수원시 영통구 매여울로68번길 7 (매탄동),매탄동 101-18 단독주택,,,,0,4.11E+11,10101,0,7,0,주건축물제1동,0,주건축물,199.9,119.85,59.95,358.47,358.47,179.32,21,철근콘크리트구조,철근콘크리트구조,1000,단독주택,단독주택(다가구주택),90,기타지붕,경사지붕,0,8,14.2,4,0,1,0,0,0,358.47,0,0,0,0,8,8,0,0,매탄1동
49,경기도 수원시 영통구 매탄동 101-32번지,41117,10100,0,101,32,10841237033,1,일반,2,일반건축물,경기도 수원시 영통구 매여울로 62 (매탄동),,,,,2,4.11E+11,10101,0,62,0,,0,주건축물,353.7,186.66,52.77,482.58,482.58,136.44,11,벽돌구조,연와조,1000,단독주택,단독주택(13세대),10,(철근)콘크리트,슬라브,0,13,9.7,3,0,0,0,0,0,0,0,0,0,0,0,4,4,46,매탄1동
50,경기도 수원시 영통구 매탄동 101-35번지,41117,10100,0,101,35,10841237034,1,일반,2,일반건축물,경기도 수원시 영통구 매여울로 64-1 (매탄동),,,,,1,4.11E+11,10101,0,64,1,,0,주건축물,321.6,186.52,58,539.4,539.4,167.72,21,철근콘크리트구조,철근콘크리트조,1000,단독주택,다가구주택(13가구),10,(철근)콘크리트,슬라브,0,13,10.8,3,0,0,0,0,0,0,0,0,0,0,0,4,4,46,매탄1동
51,경기도 수원시 영통구 매탄동 101-36번지,41117,10100,0,101,36,10841237035,1,일반,2,일반건축물,경기도 수원시 영통구 매여울로52번길 2 (매탄동),,,,,0,4.11E+11,10101,0,2,0,,0,주건축물,218.9,131.29,59.96,478.13,375.52,171.55,21,철근콘크리트구조,철근콘크리트조,1000,단독주택,"근린생활시설, 주택[8가구]",10,(철근)콘크리트,슬라브,0,8,10,3,1,0,0,0,0,0,0,23.4,2,23,0,2,2,23,매탄1동
53,경기도 수원시 영통구 매탄동 101-38번지,41117,10100,0,101,38,1.08E+13,1,일반,2,일반건축물,경기도 수원시 영통구 매여울로52번길 8 (매탄동),,,,,0,4.11E+11,10101,0,8,0,,0,주건축물,216.6,128.78,59.46,433.93,433.93,200.34,21,철근콘크리트구조,철근콘크리트구조,1000,단독주택,단독주택(7가구)외1,10,(철근)콘크리트,(철근)콘크리트,0,7,14.8,5,0,1,0,0,0,433.93,0,0,0,0,6,8,2,23,매탄1동
55,경기도 수원시 영통구 매탄동 101-40번지,41117,10100,0,101,40,10841237039,1,일반,2,일반건축물,경기도 수원시 영통구 매여울로52번길 14 (매탄동),,,,,1,4.11E+11,10101,0,14,0,,0,주건축물,412.1,247.11,59.96,1167.31,886.22,215.05,21,철근콘크리트구조,철근콘크리트조,1000,단독주택,"단독주택[14가구], 제2종근린생활시설",10,(철근)콘크리트,슬라브,0,14,15.6,4,1,0,0,0,0,0,0,0,0,0,6,8,2,12.3,매탄1동
57,경기도 수원시 영통구 매탄동 101-42번지,41117,10100,0,101,42,1.08E+13,1,일반,2,일반건축물,경기도 수원시 영통구 매여울로52번길 18 (매탄동),,,,,0,4.11E+11,10101,0,18,0,,0,주건축물,175,104.74,59.85,330.68,330.68,188.96,21,철근콘크리트구조,철근콘크리트구조,1000,단독주택,단독주택(다중주택),10,(철근)콘크리트,(철근)콘크리트,0,1,14,4,0,1,0,0,0,330.68,0,0,0,0,4,4,0,0,매탄1동
58,경기도 수원시 영통구 매탄동 101-44번지,41117,10100,0,101,44,10841237042,1,일반,2,일반건축물,경기도 수원시 영통구 동수원로 501 (매탄동),,,,,0,4.11E+11,10101,0,501,0,,0,주건축물,261.5,154.84,59.21,619.36,558.6,213.61,21,철근콘크리트구조,철근콘크리트구조,1000,단독주택,"단독주택,제1종근린생활시설",10,(철근)콘크리트,(철근)콘크리트,0,7,12.6,4,0,1,0,0,0,619.36,0,0,0,0,1,5,4,46,매탄1동
63,경기도 수원시 영통구 매탄동 101-49번지,41117,10100,0,101,49,10841237047,1,일반,2,일반건축물,경기도 수원시 영통구 매여울로 51 (매탄동),,,,,1,4.11E+11,10101,0,51,0,,0,주건축물,259.7,151.31,58.26,603.62,453.93,174.79,19,기타조적구조,조적조,1000,단독주택,다가구주택(14가구),10,(철근)콘크리트,슬라브,0,14,10.8,3,1,0,0,0,0,0,0,0,0,0,0,4,4,46,매탄1동
65,경기도 수원시 영통구 매탄동 101-51번지,41117,10100,0,101,51,1.08E+13,1,일반,2,일반건축물,경기도 수원시 영통구 동수원로 493 (매탄동),(주)플라워랜드,,,,0,4.11E+11,10101,0,493,0,(주)플라워랜드,0,주건축물,221,106.4,48.14,461.96,322.07,145.73,21,철근콘크리트구조,철근콘크리트구조,4000,제2종근린생활시설,"제1,2종근린생활시설",10,(철근)콘크리트,(철근)콘크리트,0,0,10.6,4,1,0,0,0,0,461.96,0,0,0,0,3,3,0,0,매탄1동
73,경기도 수원시 영통구 매탄동 101-62번지,41117,10100,0,101,62,10841237053,1,일반,2,일반건축물,경기도 수원시 영통구 동수원로 491-19 (매탄동),,,,,1,4.11E+11,10101,0,491,19,,0,주건축물,175.5,103.47,58.95,253.89,165.78,94.46,11,벽돌구조,연와조,1000,단독주택,주택5가구,10,(철근)콘크리트,슬라브,0,5,7.7,2,1,0,0,0,0,0,0,0,0,0,0,1,1,11.5,매탄1동
74,경기도 수원시 영통구 매탄동 102번지,41117,10100,0,102,0,10841237055,1,일반,2,일반건축물,경기도 수원시 영통구 동수원로 514 (매탄동),,,,,0,4.11E+11,10101,0,514,0,,0,주건축물,505.1,301.77,59.74,1871.53,1494.52,295.89,21,철근콘크리트구조,철근콘크리트조,4000,제2종근린생활시설,근린생활시설,10,(철근)콘크리트,평스라브,0,0,18.6,5,1,1,0,0,0,0,0,0,0,0,10,10,0,0,매탄2동
75,경기도 수원시 영통구 매탄동 102-1번지,41117,10100,0,102,1,10841237056,1,일반,2,일반건축물,경기도 수원시 영통구 동수원로 516 (매탄동),,,,,0,4.11E+11,10101,0,516,0,,0,주건축물,438.9,260.2,59.28,1618.58,1343.3,306.06,21,철근콘크리트구조,철근콘크리트조,4000,제2종근린생활시설,"교육연구시설, 근린생활시설",10,(철근)콘크리트,슬라브,0,0,23.5,6,1,1,0,0,0,1618.58,0,0,0,0,4,8,4,58.5,매탄2동
77,경기도 수원시 영통구 매탄동 102-3번지,41117,10100,0,102,3,10841237058,1,일반,2,일반건축물,경기도 수원시 영통구 동수원로 520 (매탄동),,,,,0,4.11E+11,10101,0,520,0,,0,주건축물,456.5,262.72,57.55,1648.93,1348.96,295.5,21,철근콘크리트구조,라멘조,3000,제1종근린생활시설,근린생활시설,10,(철근)콘크리트,슬라브,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,5,5,57.5,매탄2동
80,경기도 수원시 영통구 매탄동 102-7번지,41117,10100,0,102,7,10841237061,1,일반,2,일반건축물,경기도 수원시 영통구 중부대로 300 (매탄동),우진빌딩,,,,0,4.11E+11,10101,0,300,,우진빌딩,0,주건축물,594.6,345.03,58.03,2801.07,2333.71,392.48,21,철근콘크리트구조,철근콘크리트구조,9000,의료시설,의료시설(한방병원),10,(철근)콘크리트,(철근)콘크리트,0,0,26.9,7,1,1,0,0,0,2838.03,0,0,0,0,10,10,0,0,매탄2동
81,경기도 수원시 영통구 매탄동 102-8번지,41117,10100,0,102,8,10841237062,1,일반,2,일반건축물,경기도 수원시 영통구 매여울로40번길 63 (매탄동),매탄동 어린이집,,,,0,4.11E+11,10101,0,63,,,0,주건축물,460,271.96,59.12,1006.8,764.71,166.24,21,철근콘크리트구조,철근콘크리트조,4000,제2종근린생활시설,노유자시설,10,(철근)콘크리트,슬라브,0,0,13.7,3,1,0,0,0,0,1006.8,0,0,0,0,0,5,5,0,매탄2동
82,경기도 수원시 영통구 매탄동 102-9번지,41117,10100,0,102,9,10841237063,1,일반,2,일반건축물,경기도 수원시 영통구 매여울로40번길 57 (매탄동),,,,,0,4.11E+11,10101,0,57,0,,0,주건축물,297.2,141.38,47.57,264.05,264.05,88.85,32,경량철골구조,"철근콘크리트조, 경량철골조",4000,제2종근린생활시설,"제2종근린생활시설, 제1종근린생활시설",10,(철근)콘크리트,경사슬라브,0,0,7.1,2,0,0,0,1,3.64,0,0,0,0,0,0,2,2,23,매탄2동
88,경기도 수원시 영통구 매탄동 102-16번지,41117,10100,0,102,16,10841237070,1,일반,2,일반건축물,경기도 수원시 영통구 중부대로 302 (매탄동),,,,,0,4.11E+11,10101,0,302,0,,0,주건축물,628.3,359.7,57.25,2271.47,1770.86,281.85,21,철근콘크리트구조,철근콘크리트조,4000,제2종근린생활시설,근린생활시설,10,(철근)콘크리트,슬라브,0,0,22.3,5,1,0,0,0,0,0,0,0,0,0,6,13,7,80.5,매탄2동
89,경기도 수원시 영통구 매탄동 102-17번지,41117,10100,0,102,17,10841237071,1,일반,2,일반건축물,경기도 수원시 영통구 중부대로 304 (매탄동),,,,,0,4.11E+11,10101,0,304,,,0,주건축물,522.6,296.95,56.82,1870.3,1460.77,279.51,21,철근콘크리트구조,철근콘크리트조,4000,제2종근린생활시설,"근린생활시설, 업무시설",10,(철근)콘크리트,슬라브,0,0,22.3,5,1,0,0,0,0,0,0,0,0,0,5,8,3,34.5,매탄2동
91,경기도 수원시 영통구 매탄동 102-19번지,41117,10100,0,102,19,10841237073,1,일반,2,일반건축물,경기도 수원시 영통구 중부대로 308 (매탄동),,,,,0,4.11E+11,10101,0,308,,,0,주건축물,484.6,286.2,59.06,994.79,737.99,152.29,21,철근콘크리트구조,라멘조,3000,제1종근린생활시설,"제1,2종근린생활시설",10,(철근)콘크리트,슬라브,0,0,13.1,3,1,0,0,0,0,0,0,0,0,0,0,3,3,35,매탄2동
93,경기도 수원시 영통구 매탄동 102-21번지,41117,10100,0,102,21,1.08E+13,1,일반,2,일반건축물,경기도 수원시 영통구 중부대로 314 (매탄동),타이어뱅크 동수원점,,,,0,4.11E+11,10101,0,314,,타이어뱅크 동수원점,0,주건축물,506.6,263.7,52.05,317.62,317.62,62.7,31,일반철골구조,일반철골구조,4000,제2종근린생활시설,제2종근린생활시설,90,기타지붕,철골구조,0,0,30,3,0,0,0,0,0,317.62,0,0,0,0,1,2,1,12.5,매탄2동
94,경기도 수원시 영통구 매탄동 102-22번지,41117,10100,0,102,22,10841237076,1,일반,2,일반건축물,경기도 수원시 영통구 중부대로 316 (매탄동),진빌딩,,,,0,4.11E+11,10101,0,316,0,,0,주건축물,912.8,485.7,53.21,4737.74,2956.31,323.87,21,철근콘크리트구조,철근콘크리트조,4000,제2종근린생활시설,"근린생활시설, 업무시설",10,(철근)콘크리트,평스라브,0,0,30,7,3,1,0,0,0,0,17,0,0,0,14,14,0,0,매탄2동
99,경기도 수원시 영통구 매탄동 102-28번지,41117,10100,0,102,28,10841237082,1,일반,2,일반건축물,경기도 수원시 영통구 매여울로40번길 73 (매탄동),,,,,0,4.11E+11,10101,0,73,0,,0,주건축물,319.5,183.2,57.34,196.7,183.2,57.34,11,벽돌구조,"연와조, 경량철골조",4000,제2종근린생활시설,제2종근린생활시설,10,(철근)콘크리트,"슬라브, 경량판넬",0,0,4.5,1,1,0,0,1,5,0,0,0,0,0,0,1,1,11.5,매탄2동
101,경기도 수원시 영통구 매탄동 102-30번지,41117,10100,0,102,30,10841237084,1,일반,2,일반건축물,경기도 수원시 영통구 매여울로40번길 67 (매탄동),세현빌딩,,,,0,4.11E+11,10101,0,67,0,,0,주건축물,319.6,173.81,54.38,833.11,639.14,199.98,21,철근콘크리트구조,철근콘크리트조,3000,제1종근린생활시설,"제1종근린생활시설, 제2종근린생활시설",10,(철근)콘크리트,평슬라브,0,0,13.1,4,1,1,0,0,0,0,0,0,0,0,1,5,4,46,매탄2동
102,경기도 수원시 영통구 매탄동 104-30번지,41117,10100,0,104,30,10841237085,1,일반,2,일반건축물,경기도 수원시 영통구 산남로 83-13 (매탄동),,,,,0,4.11E+11,10101,0,83,13,,0,주건축물,291,137.38,47.2,504.02,385.24,132.38,21,철근콘크리트구조,철근콘크리트조,1000,단독주택,단독주택[12가구],10,(철근)콘크리트,평슬라브,0,12,13.2,3,1,0,0,0,0,504.02,0,0,0,0,0,4,4,46,매탄2동
103,경기도 수원시 영통구 매탄동 104-31번지,41117,10100,0,104,31,10841237086,1,일반,2,일반건축물,경기도 수원시 영통구 매여울로 6-1 (매탄동),,,,,1,4.11E+11,10101,0,6,1,,0,주건축물,235.5,109.7,46.58,406.96,297.26,126.23,21,철근콘크리트구조,철근콘크리트조,1000,단독주택,단독주택[16가구],10,(철근)콘크리트,(철근)콘크리트,0,16,10.3,3,1,0,0,0,0,0,0,0,0,0,0,3,3,34.5,매탄2동
104,경기도 수원시 영통구 매탄동 104-32번지,41117,10100,0,104,32,10841237087,1,일반,2,일반건축물,경기도 수원시 영통구 매여울로 8 (매탄동),,,,,0,4.11E+11,10101,0,8,,,0,주건축물,310,179.09,57.77,740.57,622.58,200.83,21,철근콘크리트구조,RC및연와조,1000,단독주택,"근린생활시설, 주택[4가구]",10,(철근)콘크리트,슬라브,0,4,12.9,4,1,0,0,0,0,740.57,0,0,0,0,1,4,3,34.5,매탄2동
105,경기도 수원시 영통구 매탄동 104-38번지,41117,10100,0,104,38,10841237088,1,일반,2,일반건축물,경기도 수원시 영통구 매여울로 6 (매탄동),,,,,1,4.11E+11,10101,0,6,,,0,주건축물,253,114.32,45.19,414.3,308.89,122.09,21,철근콘크리트구조,철근콘크리트조,1000,단독주택,단독주택[16가구],10,(철근)콘크리트,평슬라브,0,16,10.3,3,1,0,0,0,0,0,0,0,0,0,0,3,3,34.5,매탄2동
107,경기도 수원시 영통구 매탄동 108-8번지,41117,10100,0,108,8,10841237090,1,일반,2,일반건축물,경기도 수원시 영통구 매여울로40번길 68 (매탄동),,,,,1,4.11E+11,10101,0,68,,,0,주건축물,169.6,95.75,56.46,252.19,252.19,148.7,21,철근콘크리트구조,철근콘크리트조,1000,단독주택,"주택,근린생활시설",10,(철근)콘크리트,슬라브,0,2,11.6,3,0,0,0,0,0,0,0,0,0,0,0,2,2,23,매탄2동
109,경기도 수원시 영통구 매탄동 110-2번지,41117,10100,0,110,2,10841237092,1,일반,2,일반건축물,경기도 수원시 영통구 매여울로40번길 64 (매탄동),,,,,1,4.11E+11,10101,0,64,0,,0,주건축물,229.4,134.07,58.44,489.05,489.05,213.19,21,철근콘크리트구조,철근콘크리트조,1000,단독주택,"단독주택[9가구], 제2종근린생활시설",10,(철근)콘크리트,평슬라브,0,9,12.3,4,0,0,0,0,0,0,0,0,0,0,0,4,4,46,매탄2동
120,경기도 수원시 영통구 매탄동 111-9번지,41117,10100,0,111,9,1.00E+21,1,일반,2,일반건축물,경기도 수원시 영통구 매봉로35번길 48 (매탄동),Rounding,,,,0,4.11E+11,10101,0,48,,,0,주건축물,173.5,103.8084,59.83,282.2657,282.2657,162.69,21,철근콘크리트구조,철근콘크리트구조,1000,단독주택,단독주택(다가구주택),10,(철근)콘크리트,(철근)콘크리트,0,6,14.97,4,0,1,0,0,0,282.2657,0,0,0,0,0,6,6,75,매탄2동
123,경기도 수원시 영통구 매탄동 111-12번지,41117,10100,0,111,12,10841237106,1,일반,2,일반건축물,경기도 수원시 영통구 산남로 106 (매탄동),,,,,0,4.11E+11,10101,0,106,0,,0,주건축물,194.6,115.42,59.31,333.24,310.5,159.56,21,철근콘크리트구조,"철근콘크리트조, 연와조",1000,단독주택,"근린생활시설, 주택",10,(철근)콘크리트,슬라브,0,1,9.6,3,1,0,0,0,0,0,0,0,0,0,0,1,1,11.5,매탄2동
152,경기도 수원시 영통구 매탄동 111-41번지,41117,10100,0,111,41,10841237135,1,일반,2,일반건축물,경기도 수원시 영통구 매봉로35번길 32-3 (매탄동),,,,,0,4.11E+11,10101,0,32,3,,0,주건축물,206.4,123.14,59.66,384.35,282.24,136.74,11,벽돌구조,연와조,1000,단독주택,단독주택(6가구),90,기타지붕,기타지붕(그라스울판넬),0,6,11.1,3,1,0,0,0,0,384.35,0,0,0,0,0,1,1,12,매탄2동
155,경기도 수원시 영통구 매탄동 111-44번지,41117,10100,0,111,44,1.08E+13,1,일반,2,일반건축물,경기도 수원시 영통구 매봉로35번길 38-4 (매탄동),,,,,0,4.11E+11,10101,0,38,4,,0,주건축물,195.8,117.42,59.97,335.7,335.7,171.45,21,철근콘크리트구조,철근콘크리트구조,1000,단독주택,"다가구주택,사무소",10,(철근)콘크리트,(철근)콘크리트,0,5,14.5,4,0,1,0,0,0,335.7,0,0,0,0,3,5,2,23,매탄2동
167,경기도 수원시 영통구 매탄동 111-56번지,41117,10100,0,111,56,10841237150,1,일반,2,일반건축물,경기도 수원시 영통구 매봉로35번길 24-15 (매탄동),,,,,0,4.11E+11,10101,0,24,15,,0,주건축물,202.8,111.31,54.89,298.74,196.05,96.67,11,벽돌구조,연와조,1000,단독주택,주택(7가구),10,(철근)콘크리트,슬라브,0,7,7.5,2,1,0,0,0,0,0,0,0,0,0,0,1,1,11.5,매탄2동
169,경기도 수원시 영통구 매탄동 111-58번지,41117,10100,0,111,58,10841237152,1,일반,2,일반건축물,경기도 수원시 영통구 매봉로35번길 24-9 (매탄동),,,,,0,4.11E+11,10101,0,24,9,,0,주건축물,202.7,113.32,55.91,299.34,196.92,97.15,11,벽돌구조,연와조,1000,단독주택,주택(6가구),10,(철근)콘크리트,슬라브,0,6,7.8,2,1,0,0,0,0,0,0,0,0,0,0,1,1,11.5,매탄2동
179,경기도 수원시 영통구 매탄동 111-68번지,41117,10100,0,111,68,10841237162,1,일반,2,일반건축물,경기도 수원시 영통구 매봉로35번길 32-18 (매탄동),,,,,0,4.11E+11,10101,0,32,18,,0,주건축물,195.4,106.73,54.62,292.79,188.09,96.25,11,벽돌구조,연와조,1000,단독주택,단독주택(6가구),10,(철근)콘크리트,슬라브,0,6,6.8,2,1,0,0,0,0,0,0,0,0,0,0,1,1,11.5,매탄2동
185,경기도 수원시 영통구 매탄동 111-74번지,41117,10100,0,111,74,10841237168,1,일반,2,일반건축물,경기도 수원시 영통구 매봉로35번길 16-23 (매탄동),,,,,0,4.11E+11,10101,0,16,23,,0,주건축물,314.3,184.65,58.75,529.57,529.57,168.49,21,철근콘크리트구조,철근콘크리트조,1000,단독주택,단독주택[14가구],10,(철근)콘크리트,경사슬라브,0,14,12.2,4,0,0,0,0,0,0,0,0,0,0,0,5,5,173.5,매탄2동
186,경기도 수원시 영통구 매탄동 111-75번지,41117,10100,0,111,75,1.08E+13,1,일반,2,일반건축물,경기도 수원시 영통구 매봉로35번길 16-19 (매탄동),,,,,0,4.11E+11,10101,0,16,19,,0,주건축물,304.3,180.23,59.23,492.72,492.72,161.92,21,철근콘크리트구조,철근콘크리트구조,1000,단독주택,"단독주택(다가구주택),제1종근린생활시설",10,(철근)콘크리트,(철근)콘크리트,0,8,13.9,4,0,1,0,0,0,492.72,0,0,0,0,4,8,4,46,매탄2동
188,경기도 수원시 영통구 매탄동 111-77번지,41117,10100,0,111,77,1.08E+13,1,일반,2,일반건축물,경기도 수원시 영통구 매봉로35번길 16-13 (매탄동),,,,,0,4.11E+11,10101,0,16,13,,0,주건축물,298.4,178.86,59.94,486.63,486.63,163.08,21,철근콘크리트구조,철근콘크리트구조,1000,단독주택,단독주택(8가구)외1,10,(철근)콘크리트,철근콘크리트,0,8,14.4,4,0,1,0,0,0,486.63,0,0,0,0,2,8,6,69,매탄2동
