,대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력,변환_행정동,주차면수합
5440,경기도 수원시 장안구 율전동 433-118번지,41111,13200,0,433,118,108412266,1,일반,2,일반건축물,경기도 수원시 장안구 서부로2106번길 26-2 (율전동),.,,,,0,4.11E+11,13201,0,26,2,,0,주건축물,276,169.48,61.41,644.53,495.57,179.55,21,철근콘크리트구조,"경량철골구조,철근콘크리트조",4000,제2종근린생활시설,"제1,2종근린생활시설",90,기타지붕,"기타지붕,평스라브",0,0,12.3,3,1,0,0,0,0,644.53,0,0,0,0,1,11.5,0,0,19921215,19930208,19930602,2005,,,1202,증축신고,0,,0,0,,0,,0,20220921,0,,율천동,1
5442,경기도 수원시 장안구 율전동 433-120번지,41111,13200,0,433,120,1084111355,1,일반,2,일반건축물,경기도 수원시 장안구 서부로2105번길 16-11 (율전동),,,,,0,4.11E+11,13201,0,16,11,,0,주건축물,271,129.03,47.61,493.94,381.11,140.64,21,철근콘크리트구조,"철근콘크리트조, 조립식판넬",1000,단독주택,단독주택(14가구),90,기타지붕,조립식판넬경사지붕,0,14,11.7,4,1,0,0,0,0,0,0,0,0,0,0,0,4,46,19970724,19970728,19971106,,,,,,0,,0,0,,0,,0,20220909,0,,율천동,4
5444,경기도 수원시 장안구 율전동 433-122번지,41111,13200,0,433,122,1.08E+13,1,일반,2,일반건축물,경기도 수원시 장안구 서부로2106번길 16-3 (율전동),,,,,0,4.11E+11,13201,0,16,3,,0,주건축물,144,85.61,59.45,260.48,212.88,147.83,21,철근콘크리트구조,철근콘크리트구조,1000,단독주택,다중주택,10,(철근)콘크리트,(철근)콘크리트,0,0,10.2,3,1,0,0,0,0,260.48,0,0,0,0,0,0,2,23,20150710,20150903,20160923,2015,3750028,건축과,1101,신축허가,10,,0,0,,0,,0,20220909,1,,율천동,2
5445,경기도 수원시 장안구 율전동 433-123번지,41111,13200,0,433,123,108419149,1,일반,2,일반건축물,경기도 수원시 장안구 서부로2106번길 26-14 (율전동),,,,,0,4.11E+11,13201,0,26,14,,0,주건축물,192.33,113.76,59.15,392.67,291.77,151.7,21,철근콘크리트구조,철근콘크리트구조,1000,단독주택,단독주택(다가구주택),10,(철근)콘크리트,(철근)콘크리트,0,19,10.5,3,1,0,0,0,0,392.67,0,0,0,0,0,0,4,46.5,20031204,20040130,20041102,2003,3750028,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,0,,율천동,4
5446,경기도 수원시 장안구 율전동 433-124번지,41111,13200,0,433,124,1084114252,1,일반,2,일반건축물,경기도 수원시 장안구 서부로2106번길 26-12 (율전동),,,,,0,4.11E+11,13201,0,26,12,,0,주건축물,209,111.11,53.16,416.91,306.4,146.6,21,철근콘크리트구조,철근콘크리트구조,1000,단독주택,단독주택(다가구주택),10,(철근)콘크리트,(철근)콘크리트,0,16,10.3,3,1,0,0,0,0,416.91,0,0,0,0,0,0,3,34.5,20021017,20030701,20031206,2002,3750002,생활민원과,1101,신축허가,0,,0,0,,0,,0,20220909,0,,율천동,3
5447,경기도 수원시 장안구 율전동 433-126번지,41111,13200,0,433,126,108419406,1,일반,2,일반건축물,경기도 수원시 장안구 서부로2106번길 14 (율전동),,,,,0,4.11E+11,13201,0,14,,,0,주건축물,341,199.19,58.41,752.54,562.07,164.83,21,철근콘크리트구조,"철근콘크리트조, 연와조",4000,제2종근린생활시설,"근린생활시설, 단독주택",10,(철근)콘크리트,스라브,0,1,12.1,3,1,0,0,0,0,0,0,0,0,0,0,0,5,57.5,19950523,19950500,19950819,,,,,,0,,0,0,,0,,0,20220909,0,,율천동,5
5448,경기도 수원시 장안구 율전동 433-127번지,41111,13200,0,433,127,108413945,1,일반,2,일반건축물,경기도 수원시 장안구 서부로2106번길 16-2 (율전동),,,,,0,4.11E+11,13201,0,16,2,,0,주건축물,249,123.22,49.49,299.7,268.68,107.9,11,벽돌구조,"연와조, 조적조",1000,단독주택,단독주택(3가구),10,(철근)콘크리트,평스라브,0,3,10.1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,11.5,19920930,19921005,19930226,,,,,,0,,0,0,,0,,0,20220909,0,,율천동,1
5449,경기도 수원시 장안구 율전동 433-128번지,41111,13200,0,433,128,1.00E+21,1,일반,2,일반건축물,경기도 수원시 장안구 서부로2106번길 26-3 (율전동),율전동 433-128,,,,0,4.11E+11,13201,0,26,3,,0,주건축물,215,128.38,59.71,387.26,387.26,180.12,21,철근콘크리트구조,철근콘크리트구조,1000,단독주택,"단독주택(다중주택), 제1종근린생활시설",10,(철근)콘크리트,(철근)콘크리트(경사지붕),0,1,14.43,4,0,0,0,0,0,387.26,0,0,0,0,0,0,3,37.5,20230627,20230910,20240117,2023,3750028,건축과,1101,신축허가,0,,0,0,,0,,0,20240118,1,Ⅶ-0.170g,율천동,3
5450,경기도 수원시 장안구 율전동 433-131번지,41111,13200,0,433,131,108413504,1,일반,2,일반건축물,경기도 수원시 장안구 서부로2105번길 16-14 (율전동),더반하우스,,,,0,4.11E+11,13201,0,16,14,,0,주건축물,198,115.74,58.45,329.91,329.91,166.62,21,철근콘크리트구조,철근콘크리트구조,1000,단독주택,단독주택(12가구),10,(철근)콘크리트,(철근)콘크리트,0,12,9,3,0,0,0,0,0,329.91,0,0,0,0,0,0,2,23,20030205,20030624,20031030,2003,3750002,생활민원과,1101,신축허가,0,,0,0,,0,,0,20220909,0,,율천동,2
5451,경기도 수원시 장안구 율전동 433-133번지,41111,13200,0,433,133,1.08E+13,1,일반,2,일반건축물,경기도 수원시 장안구 화산로233번길 64 (율전동),율전동 433-133 제2종근린생활시설,,,,1,4.11E+11,13201,0,64,,주건축물제1동,0,주건축물,384,187.54,48.84,774.03,624.29,162.58,21,철근콘크리트구조,철근콘크리트구조,4000,제2종근린생활시설,제2종근린생활시설(다가구주택),10,(철근)콘크리트,슬라브,0,4,13.5,4,1,1,0,0,0,774.03,0,0,0,0,3,52.5,4,46,20090821,20091226,20100629,2009,3750028,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,1,,율천동,7
