대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력
경기도 수원시 영통구 매탄동 50번지,41117,10100,0,0050,0000,10841239806,2,집합,3,표제부,경기도 수원시 영통구 매봉로27번길 11 (매탄동),극동아파트,,,,0,411174331034,10101,0,11,,제104동,0,주건축물,0,481.2,0,4169.65,3877.92,0,21,철근콘크리트구조,철근콘크리트조,02000,공동주택,공동주택(아파트),10,(철근)콘크리트,박공평스라브,40,0,26.8,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,19970303,19970411,19981030,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 매탄동 50번지,41117,10100,0,0050,0000,10841239804,2,집합,3,표제부,경기도 수원시 영통구 매봉로27번길 11 (매탄동),극동아파트,,,,0,411174331034,10101,0,11,,제102동,0,주건축물,0,654.08,0,5545.36,5267.68,0,21,철근콘크리트구조,철근콘크리트조,02000,공동주택,공동주택(아파트),10,(철근)콘크리트,박공평스라브,40,0,26.8,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,19970303,19970411,19981030,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 매탄동 50번지,41117,10100,0,0050,0000,10841239803,2,집합,3,표제부,경기도 수원시 영통구 매봉로27번길 11 (매탄동),극동아파트,,,,0,411174331034,10101,0,11,,제101동,0,주건축물,0,570.66,0,4770.77,4349.28,0,21,철근콘크리트구조,철근콘크리트조,02000,공동주택,공동주택(아파트),10,(철근)콘크리트,박공평스라브,60,0,26.8,10,1,3,0,0,0,0,0,0,0,0,0,0,0,0,19970303,19970411,19981030,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 매탄동 50번지,41117,10100,0,0050,0000,10841239807,2,집합,3,표제부,경기도 수원시 영통구 매봉로27번길 11 (매탄동),극동아파트,,,,0,411174331034,10101,0,11,,제106동,0,주건축물,0,327.04,0,2060.33,1846.46,0,21,철근콘크리트구조,철근콘크리트조,02000,공동주택,공동주택(아파트),10,(철근)콘크리트,박공평스라브,14,0,19,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19970303,19970411,19981030,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 매탄동 50-3번지,41117,10100,0,0050,0003,10841100421032,1,일반,2,일반건축물,경기도 수원시 영통구 산남로80번길 40 (매탄동),이산 패밀리타운 105동,,,,1,411174331100,10101,0,40,0,,0,주건축물,289.2,172.97,59.81,576,576,199.17,21,철근콘크리트구조,철근콘크리트구조,01000,단독주택,"단독주택(다가구주택),근린생활시설",10,(철근)콘크리트,(철근)콘크리트,0,9,17,5,0,1,0,0,0,576,0,0,0,0,10,110.7,0,0,20171212,20171222,20190110,2017,5610006,건축과,1101,신축허가,1,,0,0,,0,,0,20220909,1,Ⅶ-0.182g
경기도 수원시 영통구 매탄동 50-5번지,41117,10100,0,0050,0005,10841236995,1,일반,2,일반건축물,경기도 수원시 영통구 산남로80번길 42 (매탄동),,,,,0,411174331100,10101,0,42,0,,0,주건축물,317,174.41,55.02,659.66,497.13,156.82,21,철근콘크리트구조,철근콘크리트구조,01000,단독주택,단독주택,10,(철근)콘크리트,(철근)콘크리트,0,19,10.45,3,1,0,0,0,0,659.66,0,0,0,0,0,0,6,70,20030531,20030611,20031128,2003,3750028,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 매탄동 50-7번지,41117,10100,0,0050,0007,10841236996,1,일반,2,일반건축물,경기도 수원시 영통구 산남로80번길 44 (매탄동),,,,,0,411174331100,10101,0,44,0,,0,주건축물,344,156.69,45.55,587.03,450.09,130.84,21,철근콘크리트구조,철근콘크리트구조,01000,단독주택,단독주택,10,(철근)콘크리트,(철근)콘크리트,0,19,10.45,3,1,0,0,0,0,587.03,0,0,0,0,0,0,5,57.5,20030531,20030609,20031128,2003,3750028,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 매탄동 50-8번지,41117,10100,0,0050,0008,10841100421031,1,일반,2,일반건축물,경기도 수원시 영통구 산남로80번길 38 (매탄동),이산 패밀리타운 106동,,,,0,411174331100,10101,0,38,,,0,주건축물,302,180.4,59.74,604.66,604.66,200.22,21,철근콘크리트구조,철근콘크리트구조,01000,단독주택,"단독주택(다가구주택),근린생활시설",10,(철근)콘크리트,(철근)콘크리트,0,9,16.8,5,0,1,0,0,0,604.66,0,0,0,0,10,110.7,0,0,20171212,20171222,20190110,2017,5610006,건축과,1101,신축허가,1,,0,0,,0,,0,20220909,1,Ⅶ-0.182g
경기도 수원시 영통구 매탄동 50-9번지,41117,10100,0,0050,0009,10841100420531,1,일반,2,일반건축물,경기도 수원시 영통구 산남로80번길 36 (매탄동),이산 패밀리타운 104동,,,,0,411174331100,10101,0,36,0,,0,주건축물,330,196.37,59.51,660.32,660.32,200.1,21,철근콘크리트구조,철근콘크리트구조,01000,단독주택,"단독주택(다가구주택,근린생활시설)",10,(철근)콘크리트,(철근)콘크리트,0,10,16.9,5,0,1,0,0,0,660.32,0,0,0,0,11,0,0,0,20171212,20171222,20181227,2017,5610006,건축과,1101,신축허가,1,,0,0,,0,,0,20220909,1,Ⅶ-0.182g
경기도 수원시 영통구 매탄동 50-10번지,41117,10100,0,0050,0010,10841100417554,1,일반,2,일반건축물,경기도 수원시 영통구 산남로80번길 32 (매탄동),이산 패밀리타운 102동,,,,0,411174331100,10101,0,32,,,0,주건축물,416,248.021,59.62,819.596,819.596,197.02,21,철근콘크리트구조,철근콘크리트구조,01000,단독주택,단독주택(다가구주택) 외 1,10,(철근)콘크리트,(철근)콘크리트,0,11,16.7,5,0,1,0,0,0,819.596,0,0,0,0,13,145.2,0,0,20171212,20171222,20181029,2017,5610006,건축과,1101,신축허가,1,,0,0,,0,,0,20220909,1,Ⅶ-0.182g
경기도 수원시 영통구 매탄동 50-11번지,41117,10100,0,0050,0011,10841100417553,1,일반,2,일반건축물,경기도 수원시 영통구 산남로80번길 30 (매탄동),이산 패밀리타운 101동,,,,0,411174331100,10101,0,30,0,,0,주건축물,363,213.24,58.74,726.872,726.872,200.24,21,철근콘크리트구조,철근콘크리트구조,01000,단독주택,단독주택(다가구주택) 외 1,10,(철근)콘크리트,(철근)콘크리트,0,9,16.6,5,0,1,0,0,0,726.872,0,0,0,0,10,112.15,0,0,20171212,20171222,20181029,2017,5610006,건축과,1101,신축허가,1,,0,0,,0,,0,20240930,1,Ⅶ-0.182g
경기도 수원시 영통구 매탄동 50-13번지,41117,10100,0,0050,0013,10841100420532,1,일반,2,일반건축물,경기도 수원시 영통구 산남로80번길 34 (매탄동),이산 패밀리타운 103동,,,,1,411174331100,10101,0,34,0,,0,주건축물,326.9,195.55,59.82,649.75,649.75,198.76,21,철근콘크리트구조,철근콘크리트구조,01000,단독주택,"단독주택(다가구주택,근린생활시설)",10,(철근)콘크리트,(철근)콘크리트,0,11,17.1,5,0,1,0,0,0,649.75,0,0,0,0,12,0,0,0,20171212,20171222,20181227,2017,5610006,건축과,1101,신축허가,1,,0,0,,0,,0,20220909,1,Ⅶ-0.182g
경기도 수원시 영통구 매탄동 54-2번지,41117,10100,0,0054,0002,10841236997,1,일반,2,일반건축물,,,,,,0,,,0,,,,0,주건축물,0,79.34,0,79.34,79.34,0,11,벽돌구조,시멘트벽돌조,18000,창고시설,창고,10,(철근)콘크리트,슬라브,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19740615,,19750313,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 매탄동 62-1번지,41117,10100,0,0062,0001,10841236998,1,일반,2,일반건축물,,,,,,0,,,0,,,,0,주건축물,0,309.8,0,309.8,309.8,0,12,블록구조,"블록조, 연와조",21000,동물및식물관련시설,주택,30,슬레이트,"스레이트, 슬라브",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,198005  ,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 매탄동 92-2번지,41117,10100,0,0092,0002,10841237000,1,일반,2,일반건축물,,,,,,0,,,0,,,,0,주건축물,0,29.75,0,29.75,29.75,0,19,기타조적구조,토벽조,03000,제1종근린생활시설,점포및주택,90,기타지붕,세멘와평가건,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19700429,,19740701,,,,,,0,,0,0,,0,,0,20220909,0,
