대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력
경기도 수원시 팔달구 팔달로1가 5-1번지,41115,12000,0,0005,0001,10841186356,1,일반,2,일반건축물,경기도 수원시 팔달구 창룡대로8번길 2 (팔달로1가),,,,,0,411154328344,12001,0,2,0,,0,주건축물,283.6,255.77,90.19,901.94,743.2,262.06,21,철근콘크리트구조,철근콘크리트조,03000,제1종근린생활시설,근린생활시설,10,(철근)콘크리트,슬라브,0,0,8.3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19650520,,19691004,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 5-2번지,41115,12000,0,0005,0002,10841176719,1,일반,2,일반건축물,경기도 수원시 팔달구 창룡대로8번길 6 (팔달로1가),,,,,0,411154328344,12001,0,6,0,,0,주건축물,165.6,111.8,67.51,120.4,111.8,67.51,11,벽돌구조,시멘트벽돌조,03000,제1종근린생활시설,근린생활시설,10,(철근)콘크리트,슬라브,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,19680805,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 5-3번지,41115,12000,0,0005,0003,10841183979,1,일반,2,일반건축물,경기도 수원시 팔달구 창룡대로8번길 8 (팔달로1가),,,,,0,411154328344,12001,0,8,,,0,주건축물,169.3,131.57,77.71,466.48,365.52,215.9,21,철근콘크리트구조,라멘조,04000,제2종근린생활시설,"제2종근린생활시설, 제1종근린생활시설",10,(철근)콘크리트,슬라브,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19810415,,19811026,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 5-4번지,41115,12000,0,0005,0004,10841185213,1,일반,2,일반건축물,경기도 수원시 팔달구 창룡대로8번길 10 (팔달로1가),,,,,0,411154328344,12001,0,10,0,제1동,0,주건축물,218.8,171.33,78.3044,652.9,491.25,224.5201,21,철근콘크리트구조,라멘조,04000,제2종근린생활시설,"근린생활시설, 주택",10,(철근)콘크리트,슬라브,0,1,0,3,1,0,0,0,0,652.9,0,0,0,0,0,0,0,0,19820504,,19821018,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 5-6번지,41115,12000,0,0005,0006,10841100276647,2,집합,3,표제부,경기도 수원시 팔달구 창룡대로 4-9 (팔달로1가),시우빌,,,,0,411152012001,12001,0,4,9,,0,주건축물,272.1,181.12,66.56,671.64,671.64,246.84,21,철근콘크리트구조,철근콘크리트구조,02000,공동주택,공동주택(다세대주택),10,(철근)콘크리트,(철근)콘크리트,28,0,14.9,5,0,1,0,0,0,667.64,0,0,0,0,5,57.5,0,0,20121102,20121106,20130506,2012,3770030,건축과,1101,신축허가,1,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 5-8번지,41115,12000,0,0005,0008,10841177008,1,일반,2,일반건축물,경기도 수원시 팔달구 창룡대로 4-5 (팔달로1가),,,,,0,411152012001,12001,0,4,5,,0,주건축물,247.9,143.83,58.02,177.22,163.17,65.82,21,철근콘크리트구조,철근콘크리트조,03000,제1종근린생활시설,근린생활시설,10,(철근)콘크리트,슬라브,0,1,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19710615,,19720622,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 5-9번지,41115,12000,0,0005,0009,10841172912,1,일반,2,일반건축물,경기도 수원시 팔달구 창룡대로 4-3 (팔달로1가),,,,,0,411152012001,12001,0,4,3,,0,주건축물,136.2,33.79,24.81,33.79,33.79,24.81,51,일반목구조,목조,03000,제1종근린생활시설,근린생활시설,20,기와,와즙평가건,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 5-10번지,41115,12000,0,0005,0010,10841181302,1,일반,2,일반건축물,경기도 수원시 팔달구 창룡대로 4-7 (팔달로1가),,,,,0,411152012001,12001,0,4,7,,0,주건축물,83,74.18,89.37,194.53,194.53,234.37,21,철근콘크리트구조,철근콘크리트조,01000,단독주택,단독주택(다가구주택-3가구),10,(철근)콘크리트,슬라브,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,19710831,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 5-11번지,41115,12000,0,0005,0011,10841170140,1,일반,2,일반건축물,경기도 수원시 팔달구 창룡대로 4-1 (팔달로1가),,,,,0,411152012001,12001,0,4,1,,0,주건축물,99.8,58.84,58.96,58.84,58.84,58.96,51,일반목구조,목조,04000,제2종근린생활시설,근린생활시설,20,기와,와즙평가건,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 팔달구 팔달로1가 6-1번지,41115,12000,0,0006,0001,10841100201053,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로 824 (팔달로1가),,,,,0,411153012006,12001,0,824,,,0,주건축물,1013.6,163.74,16.15,70.56,70.56,6.96,51,일반목구조,일반목구조,27000,관광휴게시설,관광휴게시설(공원부수시설),20,기와,기와,0,0,13.3,1,0,0,0,0,0,70.56,0,0,0,0,0,0,0,0,,,20081031,,,,,,0,,0,0,,0,,0,20220909,0,
