,대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력,변환_행정동,주차면수합
5895,경기도 수원시 권선구 평동 56-7번지,41113,12700,0,56,7,1.08E+13,1,일반,2,일반건축물,경기도 수원시 권선구 매송고색로 850 (평동),,,,,0,4.11E+11,12701,0,850,,,0,주건축물,1581,65,4.11,65,65,4.11,32,경량철골구조,경량철골구조,3000,제1종근린생활시설,제1종근린생활시설,90,기타지붕,기타지붕,0,0,4.6,1,0,0,0,0,0,65,0,0,0,0,0,0,9,103.5,20150424,20150604,20150818,2015,3760030,건축과,1201,신축신고,0,,0,0,,0,,0,20220909,0,,평동,9
5896,경기도 수원시 권선구 평동 56-14번지,41113,12700,0,56,14,1084198603,1,일반,2,일반건축물,경기도 수원시 권선구 매송고색로 863 (평동),,,,,0,4.11E+11,12701,0,863,,,0,주건축물,289,110.4,38.2,220.8,220.8,76.4,31,일반철골구조,일반철골구조,4000,제2종근린생활시설,제2종근린생활시설,10,(철근)콘크리트,(철근)콘크리트,0,0,10.7,2,0,0,0,0,0,220.8,0,0,0,0,0,0,1,11.5,20030703,20030927,20040108,2003,3760002,생활민원과,1101,신축허가,0,,0,0,,0,,0,20221212,0,,평동,1
5906,경기도 수원시 권선구 평동 61-6번지,41113,12700,0,61,6,1.08E+13,1,일반,2,일반건축물,경기도 수원시 권선구 세화로 70-2 (평동),,,,,0,4.11E+11,12702,0,70,2,,0,주건축물,428,85.25,19.92,242.75,242.75,56.72,31,일반철골구조,일반철골구조,4000,제2종근린생활시설,제2종근린생활시설(사무소),90,기타지붕,샌드위치판넬,0,0,16.1,4,0,0,0,0,0,242.75,0,0,0,0,2,23,0,0,20160808,20161011,20170518,2016,3760030,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,1,,평동,2
5908,경기도 수원시 권선구 평동 76-4번지,41113,12700,0,76,4,1.08E+13,1,일반,2,일반건축물,경기도 수원시 권선구 매송고색로 828-15 (평동),,,,,1,4.11E+11,12701,0,828,15,,0,주건축물,1723,149.6,8.68,149.6,149.6,8.68,32,경량철골구조,경량철골조,4000,제2종근린생활시설,"근린생활시설, 자동차관련시설",90,기타지붕,기타지붕(경량철골조),0,0,5.8,1,0,0,0,0,0,149.6,0,0,0,0,0,0,2,23,20140110,20140318,20140626,2014,3760030,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,0,,평동,2
5926,경기도 수원시 권선구 평동 110-1번지,41113,12700,0,110,1,1084183092,1,일반,2,일반건축물,경기도 수원시 권선구 매송고색로918번길 19 (평동),,,,,0,4.11E+11,12701,0,19,,,0,주건축물,0,1110.74,0,0,1110.74,0,11,벽돌구조,연와조,4000,제2종근린생활시설,"공장, 제2종근린생활시설",90,기타지붕,기타지붕(판넬),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,23,,,19720527,,,,,,0,,0,0,,0,,0,20220909,0,,평동,2
5930,경기도 수원시 권선구 평동 110-7번지,41113,12700,0,110,7,1.08E+13,1,일반,2,일반건축물,경기도 수원시 권선구 세화로 46 (평동),,,,,0,4.11E+11,12702,0,46,,,0,주건축물,1495,89.7,6,89.7,89.7,6,32,경량철골구조,경량철골구조,3000,제1종근린생활시설,제1종근린생활시설(소매점),90,기타지붕,기타지붕,0,0,4.82,1,0,0,0,0,0,89.7,0,0,0,0,0,0,1,11.5,20170504,20170619,20170823,2017,3760030,건축과,1201,신축신고,0,,0,0,,0,,0,20220909,0,,평동,1
5933,경기도 수원시 권선구 평동 130-1번지,41113,12700,0,130,1,1084195088,1,일반,2,일반건축물,경기도 수원시 권선구 매송고색로 903 (평동),,,,,3,4.11E+11,12701,0,903,,,0,주건축물,1847,347,18.79,347,347,18.79,32,경량철골구조,경량철골조,4000,제2종근린생활시설,자동차관련시설(차고),90,기타지붕,판넬,0,0,3.725,1,0,0,0,0,0,0,0,0,0,0,0,0,2,23,19961126,19961130,19970220,,,,,,0,,0,0,,0,,0,20220909,0,,평동,2
5940,경기도 수원시 권선구 평동 153-2번지,41113,12700,0,153,2,1084190890,1,일반,2,일반건축물,경기도 수원시 권선구 권선로 448 (평동),,,,,0,4.11E+11,12702,0,448,0,,0,주건축물,150,89.62,59.75,316.55,316.55,211.03,21,철근콘크리트구조,철근콘크리트구조,1000,단독주택,단독주택외2,10,(철근)콘크리트,(철근)콘크리트,0,6,14,4,0,0,0,0,0,316.55,0,0,0,0,0,0,2,23,20031002,20040322,20040827,2003,3760030,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,0,,평동,2
5945,경기도 수원시 권선구 평동 183번지,41113,12700,0,183,0,1.08E+13,1,일반,2,일반건축물,경기도 수원시 권선구 평동로77번길 14-9 (평동),선경직물 본관 재현건물,,,,0,4.11E+11,12701,0,14,9,,0,주건축물,0,122.45,0,231.55,231.55,0,21,철근콘크리트구조,철근콘크리트구조,3000,제1종근린생활시설,"제1,2종근린생활시설",10,(철근)콘크리트,(철근)콘크리트,0,0,8.45,2,0,0,0,0,0,231.55,0,0,0,0,0,0,3,0,20190114,20190528,20191213,2019,3760030,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,1,,평동,3
5948,경기도 수원시 권선구 고색동 3-1번지,41113,12800,0,3,1,1.08E+13,1,일반,2,일반건축물,경기도 수원시 권선구 서둔로 40 (고색동),,,,,0,4.11E+11,12801,0,40,0,,0,주건축물,363,142.74,39.32,285.48,285.48,78.64,31,일반철골구조,일반철골조,3000,제1종근린생활시설,제1종근린생활시설,10,(철근)콘크리트,철근콘크리트,0,0,12.2,2,0,0,0,0,0,285.48,0,0,0,0,0,0,2,23,20130329,20130429,20130826,2013,3760030,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,0,,평동,2
