대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력,변환_행정동
경기도 수원시 팔달구 인계동 1115-2번지,41115,14100,0,1115,2,10841173810.0,1,일반,2,일반건축물,경기도 수원시 팔달구 권광로196번길 43-13 (인계동),,,,,0,411154000000.0,14101.0,0.0,43.0,13.0,,0,주건축물,480.8,209.55,43.58,238.35,209.55,43.58,21,철근콘크리트구조,라멘조,4000,제2종근린생활시설,제2종근린생활시설(제조업소),10.0,(철근)콘크리트,슬라브,0,0,0.0,1,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,6,69.0,19900417,,19901023,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,인계동
경기도 수원시 팔달구 인계동 1115-3번지,41115,14100,0,1115,3,10841173182.0,1,일반,2,일반건축물,경기도 수원시 팔달구 권광로196번길 43-9 (인계동),,,,,0,411154000000.0,14101.0,0.0,43.0,9.0,,0,주건축물,480.8,334.06,69.480033,2185.07,1794.26,373.18219,21,철근콘크리트구조,철근콘크리트조,15000,숙박시설,숙박시설,10.0,(철근)콘크리트,경사슬라브,0,0,24.9,7,1,1,0,0,0.0,0.0,0,0.0,0,0.0,20,526.1,0,0.0,20010618,20010903,20020712,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,인계동
경기도 수원시 팔달구 인계동 1115-4번지,41115,14100,0,1115,4,10841100000000.0,1,일반,2,일반건축물,경기도 수원시 팔달구 권광로196번길 43-7 (인계동),,,,,0,411154000000.0,14101.0,0.0,43.0,7.0,,0,주건축물,481.6,301.5,62.6,1809.04,1697.5,352.47,21,철근콘크리트구조,철근콘크리트구조,15000,숙박시설,숙박시설,10.0,(철근)콘크리트,(철근)콘크리트,0,0,21.8,7,1,1,0,0,0.0,1809.04,0,0.0,0,0.0,13,154.5,0,0.0,20091102,20091124,20100726,2009,3740146.0,도시경관과,1101.0,신축허가,0,,0.0,0.0,,0.0,,0,20220909,0.0,,인계동
경기도 수원시 팔달구 인계동 1115-5번지,41115,14100,0,1115,5,10841180333.0,1,일반,2,일반건축물,경기도 수원시 팔달구 권광로196번길 37 (인계동),,,,,0,411154000000.0,14101.0,0.0,37.0,0.0,,0,주건축물,506.9,362.22,71.46,1959.0,1542.73,305.01,21,철근콘크리트구조,철근콘크리트구조,4000,제2종근린생활시설,제2종근린생활시설,10.0,(철근)콘크리트,(철근)콘크리트,0,0,19.8,5,1,0,1,0,0.0,1959.0,0,0.0,0,0.0,10,116.0,1,11.5,20060228,20060321,20061123,2006,3770030.0,건축과,1101.0,신축허가,0,,0.0,0.0,,0.0,,0,20220909,0.0,,인계동
경기도 수원시 팔달구 인계동 1115-6번지,41115,14100,0,1115,6,10841100000000.0,1,일반,2,일반건축물,경기도 수원시 팔달구 인계로166번길 37 (인계동),정건빌딩,,,,0,411154000000.0,14101.0,0.0,37.0,,,0,주건축물,474.2,340.65,71.8368,1641.68,1225.07,258.3445,21,철근콘크리트구조,철근콘크리트구조,4000,제2종근린생활시설,제2종근린생활시설,10.0,(철근)콘크리트,(철근)콘크리트,0,0,21.6,4,1,1,0,0,0.0,1641.68,0,0.0,0,0.0,9,362.63,0,0.0,20190424,20190601,20200109,2019,3770030.0,건축과,1101.0,신축허가,0,,0.0,0.0,,0.0,,0,20230904,1.0,Ⅶ-0.159g,인계동
경기도 수원시 팔달구 인계동 1115-7번지,41115,14100,0,1115,7,10841183038.0,1,일반,2,일반건축물,경기도 수원시 팔달구 인계로166번길 33 (인계동),,,,,0,411154000000.0,14101.0,0.0,33.0,0.0,,0,주건축물,442.9,278.38,62.85,1994.14,1680.87,379.51,21,철근콘크리트구조,철근콘크리트,15000,숙박시설,숙박시설,10.0,(철근)콘크리트,(철근)콘크리트,0,0,21.7,7,1,1,0,0,0.0,1994.14,0,0.0,0,0.0,10,0.0,10,0.0,20020429,20020522,20031216,2002,3770030.0,건축과,1101.0,신축허가,0,,0.0,0.0,,0.0,,0,20220909,0.0,,인계동
경기도 수원시 팔달구 인계동 1115-8번지,41115,14100,0,1115,8,10841179880.0,1,일반,2,일반건축물,경기도 수원시 팔달구 인계로166번길 25 (인계동),,,,,0,411154000000.0,14101.0,0.0,25.0,0.0,,0,주건축물,295.2,218.95,74.17,925.5,796.03,269.66,21,철근콘크리트구조,철근콘크리트조,4000,제2종근린생활시설,"근린생활시설, 위락시설",10.0,(철근)콘크리트,경사슬라브,0,0,20.0,5,1,1,0,0,0.0,0.0,0,0.0,0,0.0,8,92.0,0,0.0,19970507,19970613,19990528,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,인계동
경기도 수원시 팔달구 인계동 1115-10번지,41115,14100,0,1115,10,10841170959.0,1,일반,2,일반건축물,경기도 수원시 팔달구 인계로166번길 23 (인계동),,,,,0,411154000000.0,14101.0,0.0,23.0,,,0,주건축물,442.9,325.1,73.4,2411.28,2052.51,463.43,21,철근콘크리트구조,"철근콘크리트구조,철근콘크리트벽식구조",15000,숙박시설,"숙박시설,근린생활시설",10.0,(철근)콘크리트,"(철근)콘크리트,평스라브,경사지붕",0,0,28.05,9,1,1,0,0,0.0,0.0,0,0.0,0,0.0,14,161.0,0,0.0,20030711,20030918,20040720,2003,3740058.0,건축과,1101.0,신축허가,0,,0.0,0.0,,0.0,,0,20220909,0.0,,인계동
경기도 수원시 팔달구 인계동 1115-11번지,41115,14100,0,1115,11,10841100000000.0,2,집합,3,표제부,경기도 수원시 팔달구 인계로166번길 15-4 (인계동),,,,,0,411154000000.0,14101.0,0.0,15.0,4.0,,0,주건축물,474.0,347.51,73.31,2969.3,1883.05,397.27,21,철근콘크리트구조,철근콘크리트구조,2000,공동주택,"공동주택,업무시설,근린생활시설",10.0,(철근)콘크리트,(철근)콘크리트,28,0,30.3,8,3,1,0,0,0.0,2969.3,0,0.0,0,0.0,26,207.7,0,0.0,20161031,20161217,20180201,2016,3740282.0,건축과,1101.0,신축허가,16,,0.0,0.0,,0.0,,0,20220909,1.0,,인계동
경기도 수원시 팔달구 인계동 1115-13번지,41115,14100,0,1115,13,10841178499.0,1,일반,2,일반건축물,경기도 수원시 팔달구 인계로166번길 16-3 (인계동),,,,,0,411154000000.0,14101.0,0.0,16.0,3.0,,0,주건축물,0.0,369.14,0.0,393.94,369.14,0.0,21,철근콘크리트구조,라멘조,4000,제2종근린생활시설,대중음식점,10.0,(철근)콘크리트,슬라브,0,0,0.0,1,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19900417,,19901112,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,인계동
