대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력,변환_행정동
경기도 수원시 장안구 율전동 182-15번지,41111,13200,0,182,15,108413422,1,일반,2,일반건축물,경기도 수원시 장안구 덕영대로395번길 14-10 (율전동),,,,,0,4.11114E+11,13201,0,14,10,,0,주건축물,0,88.04,0,216.61,173.41,0,11,벽돌구조,연와조,1000,단독주택,다가구주택,10,(철근)콘크리트,평스라브,0,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19891208,,19900618,,,,,,0,,0,0,,0,,0,20220909,0,,율천동
경기도 수원시 장안구 율전동 182-16번지,41111,13200,0,182,16,1084110096,1,일반,2,일반건축물,경기도 수원시 장안구 덕영대로395번길 10 (율전동),,,,,0,4.11114E+11,13201,0,10,,,0,주건축물,0,95.68,0,227.22,180.9,0,11,벽돌구조,연와조,1000,단독주택,단독주택(3가구),10,(철근)콘크리트,평스라브,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19891208,,19900627,,,,,,0,,0,0,,0,,0,20220909,0,,율천동
경기도 수원시 장안구 율전동 182-21번지,41111,13200,0,182,21,108414498,1,일반,2,일반건축물,경기도 수원시 장안구 덕영대로381번길 12-13 (율전동),,,,,0,4.11114E+11,13201,0,12,13,,0,주건축물,201,119.26,59.33,452.53,339.69,169,11,벽돌구조,연와조,1000,단독주택,단독주택(7가구),10,(철근)콘크리트,스라브,0,7,10.9,3,1,0,0,0,0,0,3,34.5,0,0,0,0,0,0,19950928,19960313,19961129,,,,,,0,,0,0,,0,,0,20220909,0,,율천동
경기도 수원시 장안구 율전동 182-22번지,41111,13200,0,182,22,108419653,1,일반,2,일반건축물,경기도 수원시 장안구 덕영대로395번길 13-10 (율전동),,,,,0,4.11114E+11,13201,0,13,10,,0,주건축물,156,91.92,58.92,162.12,162.12,103.92,11,벽돌구조,연와조,1000,단독주택,단독주택(3가구),10,(철근)콘크리트,스라브,0,3,7.3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,11.5,19960109,19960314,19961125,,,,,,0,,0,0,,0,,0,20220909,0,,율천동
경기도 수원시 장안구 율전동 183번지,41111,13200,0,183,0,108413359,1,일반,2,일반건축물,경기도 수원시 장안구 덕영대로395번길 13-9 (율전동),,,,,0,4.11114E+11,13201,0,13,9,,0,주건축물,0,73.65,0,220.95,147.3,0,11,벽돌구조,연와조,1000,단독주택,단독주택(4가구),10,(철근)콘크리트,스라브,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19900802,,19910517,,,,,,0,,0,0,,0,,0,20220909,0,,율천동
경기도 수원시 장안구 율전동 183-1번지,41111,13200,0,183,1,108416836,1,일반,2,일반건축물,경기도 수원시 장안구 덕영대로395번길 13-8 (율전동),,,,,0,4.11114E+11,13201,0,13,8,,0,주건축물,155,76.05,49.06,195.94,132.01,85.16,11,벽돌구조,연와조,1000,단독주택,단독주택(5가구),10,(철근)콘크리트,스라브,0,5,7.8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19931111,19931122,19940607,,,,,,0,,0,0,,0,,0,20220909,0,,율천동
경기도 수원시 장안구 율전동 183-4번지,41111,13200,0,183,4,1084110329,1,일반,2,일반건축물,경기도 수원시 장안구 덕영대로395번길 8 (율전동),,,,,0,4.11114E+11,13201,0,8,0,,0,주건축물,236,138.55,58.71,343.54,343.54,145.57,11,벽돌구조,연와조,1000,단독주택,단독주택(9가구),10,(철근)콘크리트,스라브,0,9,9.5,3,0,0,0,0,0,0,0,0,0,0,0,0,2,23,19951019,19951026,19960726,,,,,,0,,0,0,,0,,0,20220909,0,,율천동
경기도 수원시 장안구 율전동 183-5번지,41111,13200,0,183,5,108418600,1,일반,2,일반건축물,경기도 수원시 장안구 덕영대로395번길 13-7 (율전동),,,,,0,4.11114E+11,13201,0,13,7,,0,주건축물,167.94,74.47,44.34,211.38,140.92,83.91,11,벽돌구조,연와조,1000,단독주택,단독주택(4가구),10,(철근)콘크리트,스라브,0,4,7.6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19900803,19901113,19921125,,,,,,0,,0,0,,0,,0,20220909,0,,율천동
경기도 수원시 장안구 율전동 183-6번지,41111,13200,0,183,6,1084116096,1,일반,2,일반건축물,경기도 수원시 장안구 덕영대로395번길 13-5 (율전동),,,,,0,4.11114E+11,13201,0,13,5,,0,주건축물,0,73.76,0,221.28,147.52,0,11,벽돌구조,연와조,1000,단독주택,단독주택(4가구),10,(철근)콘크리트,스라브,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19900803,,19910517,,,,,,0,,0,0,,0,,0,20220909,0,,율천동
경기도 수원시 장안구 율전동 183-7번지,41111,13200,0,183,7,1084115983,1,일반,2,일반건축물,경기도 수원시 장안구 덕영대로395번길 7 (율전동),,,,,0,4.11114E+11,13201,0,7,0,,0,주건축물,150,74.25,49.5,213.78,141.32,94.21,11,벽돌구조,조적조,1000,단독주택,단독주택(4가구),10,(철근)콘크리트,스라브,0,4,7.9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19900803,19901114,19921009,,,,,,0,,0,0,,0,,0,20220909,0,,율천동
