,대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력,변환_행정동,주차면수합
268,경기도 수원시 팔달구 팔달로3가 27-1번지,41115,12200,0,27,1,10841169298,2,집합,3,표제부,경기도 수원시 팔달구 팔달문로4번길 18 (팔달로3가),수원뉴프라자,,,,2,4.11E+11,12201,0,18,,,0,주건축물,722,576.9,79.9,3797.97,2198.27,294.32,21,철근콘크리트구조,철근콘크리트조,7000,판매시설,판매시설,10,(철근)콘크리트,슬라브,0,0,0,4,2,0,0,0,0,0,0,0,0,0,16,0,1,0,19800725,,19821211,,,,,,170,,0,0,,0,,0,20220909,0,,행궁동,17
284,경기도 수원시 팔달구 팔달로3가 28-5번지,41115,12200,0,28,5,10841177897,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로758번길 9 (팔달로3가),,,,,0,4.11E+11,12201,0,9,0,,0,주건축물,212.5,172.43,81.14,703.19,643.62,302.88,31,일반철골구조,"철근콘크리트조, 철골조",3000,제1종근린생활시설,근린생활시설,10,(철근)콘크리트,슬라브,0,0,0,4,1,0,0,0,0,703.19,0,0,0,0,3,46.1,0,0,,,19660710,,,,,,0,,0,0,,0,,0,20220909,0,,행궁동,3
294,경기도 수원시 팔달구 팔달로3가 29-4번지,41115,12200,0,29,4,10841171269,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로 762 (팔달로3가),문안과 빌딩,,,,0,4.11E+11,12203,0,762,,,0,주건축물,619.8,552.83,89.19,2583.21,1857.56,299.7,21,철근콘크리트구조,철근콘크리트조,3000,제1종근린생활시설,"업무시설, 위락시설,근린생활시설",10,(철근)콘크리트,슬라브,0,0,0,4,2,1,0,0,0,2583.21,0,0,0,0,11,540.56,0,0,19770322,,19771020,,,,,,0,,0,0,,0,,0,20220909,0,,행궁동,11
307,경기도 수원시 팔달구 팔달로3가 31-4번지,41115,12200,0,31,4,10841187824,1,일반,2,일반건축물,경기도 수원시 팔달구 중부대로3번길 6 (팔달로3가),팔달로3가 31-4 제1종근린생활시설(김동진주식회사),,,,0,4.11E+11,12201,0,6,0,,0,주건축물,160.7,123.49,76.85,484.31,369.08,229.67,21,철근콘크리트구조,철근콘크리트라멘조,3000,제1종근린생활시설,의원,10,(철근)콘크리트,슬라브,0,0,10.8,3,1,0,0,0,0,484.31,0,0,0,0,4,50,0,0,19860514,,19870731,,,,,,0,,0,0,,0,,0,20250121,0,Ⅶ - 0.170g,행궁동,4
318,경기도 수원시 팔달구 팔달로3가 76번지,41115,12200,0,76,0,1.08E+13,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로 751-4 (팔달로3가),,,,,0,4.11E+11,12203,0,751,4,,0,주건축물,549,203.2,37.01,203.2,203.2,37.01,31,일반철골구조,일반철골조,3000,제1종근린생활시설,제1종근린생활시살(체육도장),90,기타지붕,기타지붕{판넬지붕(경사지붕)},0,0,8.8,1,0,0,0,1,13.2,203.2,0,0,0,0,0,0,3,34.5,20110512,20110718,20120117,2011,3770030,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,0,,행궁동,3
320,경기도 수원시 팔달구 팔달로3가 79번지,41115,12200,0,79,0,10841175837,2,집합,3,표제부,경기도 수원시 팔달구 행궁로 77 (팔달로3가),송산빌딩,,,,0,4.11E+11,12202,0,77,,,0,주건축물,2004,558.32,27.86,6127.51,4600.37,229.56,21,철근콘크리트구조,철근콘크리트조,3000,제1종근린생활시설,"업무시설, 판매시설, 근린생활시설, 노유자시설",10,(철근)콘크리트,슬라브,0,0,31.7,9,2,1,0,0,0,0,0,0,0,0,0,0,59,678.5,19900118,19901213,19911211,,,,,,11,,0,0,,0,,0,20220909,0,,행궁동,59
328,경기도 수원시 팔달구 팔달로3가 84-1번지,41115,12200,0,84,1,10841179379,1,일반,2,일반건축물,경기도 수원시 팔달구 행궁로 71 (팔달로3가),,,,,1,4.11E+11,12202,0,71,,,0,주건축물,2005.05,1523.03,75.96,5285.1,3776.56,188.35,21,철근콘크리트구조,"철근콘크리트조, 철골조",5000,문화및집회시설,"근린생활시설, 문화 및 집회시설",10,(철근)콘크리트,슬라브,0,0,14.3,3,1,0,0,0,0,0,0,0,0,0,0,0,33,1024.94,19801230,,19810905,,,,,,0,,0,0,,0,,0,20220909,0,,행궁동,33
342,경기도 수원시 팔달구 팔달로3가 92번지,41115,12200,0,92,0,10841172933,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로 767-8 (팔달로3가),,,,,0,4.11E+11,12203,0,767,8,,0,주건축물,0,352.49,0,1729.2,1393.16,0,21,철근콘크리트구조,철근콘크리트조,4000,제2종근린생활시설,근린생활시설,10,(철근)콘크리트,슬라브,0,0,0,4,1,0,0,0,0,0,0,0,0,0,4,0,0,0,19860227,,19860906,,,,,,0,,0,0,,0,,0,20220909,0,,행궁동,4
343,경기도 수원시 팔달구 팔달로3가 93-1번지,41115,12200,0,93,1,10841179630,1,일반,2,일반건축물,경기도 수원시 팔달구 행궁로 65-1 (팔달로3가),,,,,0,4.11E+11,12202,0,65,1,,0,주건축물,251,181.44,72.29,885.9,725.76,289.15,21,철근콘크리트구조,철근콘크리트조,4000,제2종근린생활시설,근린생활시설,10,(철근)콘크리트,슬라브,0,0,14.1,4,1,0,0,0,0,0,0,0,0,0,0,0,4,87.48,19931230,19940124,19940621,,,,,,0,,0,0,,0,,0,20220909,0,,행궁동,4
345,경기도 수원시 팔달구 팔달로3가 94-2번지,41115,12200,0,94,2,10841173859,1,일반,2,일반건축물,경기도 수원시 팔달구 정조로 775-5 (팔달로3가),정율빌딩,,,,1,4.11E+11,12203,0,775,5,,0,주건축물,519,346.92,66.84,999.65,873.46,168.3,21,철근콘크리트구조,철근콘크리트조,4000,제2종근린생활시설,근린생활시설,10,(철근)콘크리트,슬라브,0,0,11.5,3,1,0,0,0,0,0,0,0,0,0,0,0,7,80.5,19960716,19961004,19970412,,,,,,0,,0,0,,0,,0,20220909,0,,행궁동,7
