대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력,변환_행정동
경기도 수원시 권선구 권선동 956-5번지,41113,13700,0,956,5,1084186423.0,1,일반,2,일반건축물,경기도 수원시 권선구 권선로639번길 20 (권선동),,,,,0,411134000000.0,13701.0,0,20.0,,,0,주건축물,245.3,116.66,47.56,209.66,209.66,85.470852,21.0,철근콘크리트구조,철근콘크리트조적조,04000,제2종근린생활시설,제2종근린생활시설,10.0,(철근)콘크리트,스라브,0,0,6.5,2,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,2,23.0,19850729,,19860517,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,권선1동
경기도 수원시 권선구 권선동 956-5번지,41113,13700,0,956,5,1084186422.0,1,일반,2,일반건축물,경기도 수원시 권선구 권선로639번길 20 (권선동),,,,,0,411134000000.0,13701.0,0,20.0,,,1,부속건축물,245.3,4.34,1.77,4.34,4.34,1.77,21.0,철근콘크리트구조,철근콘크리트구조,11000,노유자시설,교육연구및복지시설 외1,10.0,(철근)콘크리트,(철근)콘크리트,0,0,0.0,1,0,0,0,0,0.0,209.66,0,0.0,0,0.0,0,0.0,0,0.0,19850729,,19860517,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,권선1동
경기도 수원시 권선구 권선동 956-6번지,41113,13700,0,956,6,10841101191.0,1,일반,2,일반건축물,경기도 수원시 권선구 권선로639번길 18 (권선동),,,,,0,411134000000.0,13701.0,0,18.0,0.0,,0,주건축물,0.0,116.35,0.0,0.0,212.68,0.0,21.0,철근콘크리트구조,"철근콘크리트조, 연와조",01000,단독주택,"주택,소매점",10.0,(철근)콘크리트,스라브,0,3,0.0,2,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19850820,,19860410,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,권선1동
경기도 수원시 권선구 권선동 956-7번지,41113,13700,0,956,7,1084191889.0,1,일반,2,일반건축물,경기도 수원시 권선구 권선로639번길 16 (권선동),,,,,0,411134000000.0,13701.0,0,16.0,0.0,,0,주건축물,245.3,126.84,51.71,362.4,362.4,147.74,11.0,벽돌구조,"1층:라멘조,2층:연와조",01000,단독주택,근린생활시설및 주택(4가구용),10.0,(철근)콘크리트,스라브,4,4,9.9,3,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,2,23.0,19950403,19950410,19950704,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,권선1동
경기도 수원시 권선구 권선동 956-8번지,41113,13700,0,956,8,10841101668.0,1,일반,2,일반건축물,경기도 수원시 권선구 세지로112번길 45 (권선동),,,,,0,411134000000.0,13701.0,0,45.0,,,0,주건축물,324.9,192.12,59.13,862.64,723.44,222.67,21.0,철근콘크리트구조,라멘조,04000,제2종근린생활시설,근린생활시설 및 주택(1),10.0,(철근)콘크리트,평스라브,1,1,13.4,4,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,6,69.0,19970311,19970411,19971023,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,권선1동
경기도 수원시 권선구 권선동 956-9번지,41113,13700,0,956,9,1084188612.0,1,일반,2,일반건축물,경기도 수원시 권선구 세지로112번길 47 (권선동),,,,,0,411134000000.0,13701.0,0,47.0,0.0,,0,주건축물,0.0,122.21,0.0,0.0,192.14,0.0,11.0,벽돌구조,연와조,01000,단독주택,주택,20.0,기와,스라브 위 기와,0,3,0.0,2,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19880607,,19891102,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,권선1동
경기도 수원시 권선구 권선동 956-10번지,41113,13700,0,956,10,1084194368.0,1,일반,2,일반건축물,경기도 수원시 권선구 세지로112번길 49-11 (권선동),,,,,0,411134000000.0,13701.0,0,49.0,11.0,,0,주건축물,0.0,59.01,0.0,0.0,98.91,0.0,11.0,벽돌구조,연와조,01000,단독주택,주택,10.0,(철근)콘크리트,스라브,0,2,0.0,2,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19860916,,19870402,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,권선1동
경기도 수원시 권선구 권선동 956-11번지,41113,13700,0,956,11,1084192374.0,1,일반,2,일반건축물,경기도 수원시 권선구 세지로112번길 49-9 (권선동),,,,,0,411134000000.0,13701.0,0,49.0,9.0,,0,주건축물,0.0,88.56,0.0,0.0,158.09,0.0,11.0,벽돌구조,연와조,01000,단독주택,주택,10.0,(철근)콘크리트,스라브,0,2,0.0,2,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19890331,,19900510,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,권선1동
경기도 수원시 권선구 권선동 956-12번지,41113,13700,0,956,12,1084193747.0,1,일반,2,일반건축물,경기도 수원시 권선구 세지로112번길 49-7 (권선동),,,,,0,411134000000.0,13701.0,0,49.0,7.0,,0,주건축물,162.2,89.45,55.15,203.94,186.4,114.92,32.0,경량철골구조,연와조/경량철골구조,01000,단독주택,단독주택,10.0,(철근)콘크리트,스라브,0,1,8.5,3,1,0,0,1,2.0,203.94,0,0.0,0,0.0,0,0.0,0,0.0,19860910,,19861201,,,,,,0,,0.0,0.0,,0.0,,0,20220909,0.0,,권선1동
경기도 수원시 권선구 권선동 956-13번지,41113,13700,0,956,13,10841100000000.0,2,집합,3,표제부,경기도 수원시 권선구 세지로112번길 49-13 (권선동),골드빌,,,,0,411134000000.0,13701.0,0,49.0,13.0,,0,주건축물,295.5,176.94,59.88,628.45,628.45,212.67,21.0,철근콘크리트구조,철근콘크리트구조,02000,공동주택,공동주택(도시형생활주택-원룸형주택),10.0,(철근)콘크리트,(철근)콘크리트,15,0,15.9,5,0,1,0,0,0.0,628.45,0,0.0,0,0.0,7,129.23,2,23.0,20160304,20160317,20160802,2016.0,3760030.0,건축과,1101.0,신축허가,0,,0.0,0.0,,0.0,,0,20220909,1.0,,권선1동
