구,행정동,생활 인구,소매업,의료기관,교육기관,서비스업,음식점,유입인구,카드소비,지역면적(km^2),버스정류장수,근린생활시설수,추정 차량등록수,적정 주차면수,,단속건수,주차면수 합,가중치*단속건수,구별_인구수,구별_차량등록수,ADM_NM
장안구,파장동,25225,246,27,46,193,288,19726,21855,8.63,67,990,9898,4300.89,,4410,3515,785.89,277645,108944,파장동
장안구,율천동,42518,278,36,147,349,512,32824,17442,3.14,68,1417,16683,4771.24,,4928,3880,891.24,277645,108944,율천동
장안구,정자1동,27789,142,26,106,137,150,14619,7453,1.28,24,496,10904,2183.23,,2345,1764,419.23,277645,108944,정자1동
장안구,정자2동,38198,254,31,89,234,304,21120,49304,1.44,25,922,14988,3543.11,,3380,2946,597.11,277645,108944,정자2동
장안구,영화동,20217,297,36,35,329,496,23052,17070,1.27,31,1573,7933,5774.77,,5728,4781,993.77,277645,108944,영화동
장안구,송죽동,18765,201,24,48,202,348,15036,11396,1.65,18,938,7363,4226,,5294,3189,1037,277645,108944,송죽동
장안구,조원1동,28924,247,23,71,204,282,21708,11353,1.84,30,913,11349,3825.68,,4713,2953,872.68,277645,108944,조원1동
장안구,연무동,18403,200,20,25,133,275,14948,5482,11.58,35,736,7221,3551.13,,4431,2790,761.13,277645,108944,연무동
장안구,정자3동,39850,265,76,344,252,346,30098,25033,1.44,49,1061,15637,4162.07,,6175,2903,1259.07,277645,108944,정자3동
장안구,조원2동,17756,153,34,59,75,73,11830,10585,1.29,10,373,6967,1772.25,,696,1643,129.25,277645,108944,조원2동
권선구,세류1동,10809,57,12,30,86,54,9189,2693,0.93,18,259,6011,1177.09,,1876,752,425.09,375574,208845,세류1동
권선구,세류2동,25141,219,27,36,223,278,15395,10080,3.58,28,1026,13980,4758.84,,5559,3411,1347.84,375574,208845,세류2동
권선구,세류3동,19041,220,16,31,218,228,9698,6981,1.29,16,889,10588,3257.89,,3724,2349,908.89,375574,208845,세류3동
권선구,평동,41820,312,31,88,445,457,37331,35674,10.91,116,1735,23255,8724.35,,12794,6052,2672.35,375574,208845,평동
권선구,서둔동,38639,532,38,76,318,399,34727,50074,8.84,84,1702,21486,10641.44,,13436,7545,3096.44,375574,208845,서둔동
권선구,구운동,23713,284,10,58,205,299,17100,31557,1.94,46,920,13186,4774.73,,4501,3822,952.73,375574,208845,구운동
권선구,권선1동,24773,438,37,67,379,560,37583,31349,1.03,23,1628,13775,7467.54,,14632,4087,3380.54,375574,208845,권선1동
권선구,곡선동,35723,296,39,147,354,444,25418,23712,4.46,23,1418,19864,11512.45,,19730,6990,4522.45,375574,208845,곡선동
권선구,입북동,19796,81,6,65,77,88,11771,4903,7.08,57,314,11008,1289.99,,2368,763,526.99,375574,208845,입북동
권선구,권선2동,46807,357,55,165,250,311,26608,25749,1.81,42,871,26028,3355.27,,4760,2264,1091.27,375574,208845,권선2동
권선구,금곡동,44359,351,66,230,355,568,30513,28633,4.04,29,1483,24667,6807.16,,11889,4243,2564.16,375574,208845,금곡동
권선구,호매실동,44953,190,28,130,217,336,25068,18101,4.74,54,979,24997,4587.6,,10203,2440,2147.6,375574,208845,호매실동
팔달구,지동,10818,213,16,15,71,138,11476,19115,0.79,23,506,4347,2682.95,,3914,1679,1003.95,208791,83903,지동
팔달구,우만1동,19329,238,24,49,194,268,17762,11823,1.14,28,937,7767,4660.6,,5820,3063,1597.6,208791,83903,우만1동
팔달구,우만2동,17168,125,28,75,121,196,13649,12365,0.83,17,556,6899,1834.25,,1168,1522,312.25,208791,83903,우만2동
팔달구,인계동,46852,1038,186,178,842,1361,57072,98452,2.91,45,4095,18828,20823,,50000,7823,13000,208791,83903,인계동
팔달구,매교동,22297,116,14,81,111,132,12283,7372,0.86,23,563,8960,1959.81,,2462,1322,637.81,208791,83903,매교동
팔달구,매산동,12224,764,58,50,339,612,32910,52219,0.82,19,2204,4912,4748.23,,12082,1558,3190.23,208791,83903,매산동
팔달구,고등동,22554,124,6,31,127,182,11782,5352,1.01,26,599,9063,3121.62,,4820,1868,1253.62,208791,83903,고등동
팔달구,화서1동,22771,322,44,51,193,301,14148,9297,0.81,31,963,9151,4347.85,,5553,2915,1432.85,208791,83903,화서1동
팔달구,화서2동,24539,113,30,103,141,197,22319,7427,2.12,35,520,9861,2145.12,,2825,1410,735.12,208791,83903,화서2동
팔달구,행궁동,10239,808,54,18,151,763,20771,22788,1.57,21,2122,4115,7313.48,,16296,3081,4232.48,208791,83903,행궁동
영통구,매탄1동,13054,160,31,43,95,143,9035,7043,1.23,7,418,5411,1756.99,,3585,872,884.99,371414,153952,매탄1동
영통구,매탄2동,14440,145,16,50,135,220,17621,6987,0.79,12,651,5985,3358.62,,4724,2166,1192.62,371414,153952,매탄2동
영통구,매탄3동,35257,307,47,193,325,516,40571,30764,2.34,36,1426,14614,6127.9,,10061,3984,2143.9,371414,153952,매탄3동
영통구,매탄4동,20590,142,14,40,133,201,10810,4487,0.78,19,469,8535,2222.48,,3850,1307,915.48,371414,153952,매탄4동
영통구,원천동,47075,352,40,159,339,580,48780,63829,3.22,69,1985,19513,6887.66,,8646,4968,1919.66,371414,153952,원천동
영통구,광교1동,53664,674,84,322,492,839,59223,54017,7.98,85,2583,22244,8112.4,,12921,5153,2959.4,371414,153952,광교1동
영통구,광교2동,28918,237,19,92,172,374,34547,36225,4.16,41,1841,11987,5873.63,,4940,4643,1230.63,371414,153952,광교2동
영통구,영통1동,33704,104,20,118,119,112,18048,5937,1.69,26,329,13970,1675.22,,3993,654,1021.22,371414,153952,영통1동
영통구,영통2동,25904,253,43,114,263,443,28747,27732,1.36,19,1501,10737,7340.33,,11664,4806,2534.33,371414,153952,영통2동
영통구,영통3동,33275,478,101,299,436,811,39170,48392,1.72,26,2487,13793,8548.06,,10352,5910,2638.06,371414,153952,영통3동
영통구,망포1동,31898,132,31,167,127,144,21815,11080,1,16,500,13222,1764.18,,2585,1175,589.18,371414,153952,망포1동
영통구,망포2동,33635,136,58,170,128,130,20674,18123,1.44,20,510,13942,1853.51,,4127,895,958.51,371414,153952,망포2동
